name,battery,camera,display,processor,memory,warranty,price,rating,reviews
"Asus ZenFone Max M2 (Silver, 32 GB)",4000 mAh Battery,13MP + 2MP | 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Octa Core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,7999,4.3,12649
"LG Q7 (Black, 32 GB)",3000 mAh Battery,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Null,9990,3.3,2
"Tecno Camon i 2 (MIDNIGHT BLACK, 32 GB)",3750 mAh Battery,13MP + 2MP | 16MP Front Camera,15.75 cm (6.2 inch) HD+ Display,12+1 month warranty provided by the manufacturer,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Null,7250,4.3,8
"Redmi Note 5 (Gold, 32 GB)",4000 mAh Li Polymer Battery,12MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,8799,4.4,43588
"Gionee Marathon M5 Plus (Champagne Gold, 64 GB)",5020 mAh Li-Ion Polymer Battery,13MP Rear Camera | 5MP Front Camera,15.24 cm (6 inch) Full HD Display,Mediatek MT6753 Octa Core 1.3GHz Processor,3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,Brand Warranty of 1 Year,26999,4.1,27
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)",3800 mAh Lithium-ion Battery,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,36000,4.4,70
"Redmi 8A (Midnight Black, 32 GB)",5000 mAh Battery,12MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,6999,4.4,10773
"Infinix S4 (Twilight Purple, 32 GB)",4000 mAh Battery,13MP + 2MP Depth Sensor + 8MP Wide Angle sensor | 32MP Front Camera,15.77 cm (6.21 inch) HD+ Display,2.0 GHz Helio P22 64-bit Octa Core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9599,4.2,3923
"Nokia 3 (Matte Black, 16 GB)",2630 mAh Battery,8MP Rear Camera | 8MP Front Camera,12.7 cm (5 inch) HD Display,MTK 6737 Processor,2 GB RAM | 16 GB ROM | Expandable Upto 128,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,5290,3.9,1301
"Realme 3 (Dynamic Black, 64 GB)",4230 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Triple Slots (Dual SIM + Memory Card),10499,4.4,16477
